0	0	0
0	1	1
0	2	3
0	3	4
0	4	5
0	5	6
0	6	7
0	7	8
0	8	10
0	9	11
0	10	12
0	11	13
0	12	14
0	13	15
0	14	16
0	15	17
0	16	18
0	17	19
0	18	20
0	19	21
0	20	22
0	21	23
0	22	24
0	23	25
0	24	26
0	25	27
0	26	28
0	27	29
0	28	30
0	29	31
0	30	32
0	31	33
0	32	34
0	33	35
0	34	36
0	35	37
0	36	38
0	37	39
0	38	40
0	39	41
0	40	42
0	41	43
1	0	1
1	1	1
1	2	2
1	3	3
1	4	4
1	5	5
1	6	6
1	7	7
1	8	8
1	9	9
1	10	10
1	11	11
1	12	12
1	13	13
1	14	14
1	15	15
1	16	16
1	17	17
1	18	18
1	19	19
1	20	20
1	21	21
1	22	22
1	23	23
1	24	24
1	25	25
1	26	26
1	27	27
1	28	28
1	29	29
1	30	30
1	31	31
1	32	32
1	33	33
1	34	34
1	35	35
1	36	36
1	37	37
1	38	38
1	39	39
1	40	40
1	41	41
2	0	3
2	1	2
2	2	2
2	3	3
2	4	3
2	5	4
2	6	5
2	7	6
2	8	7
2	9	8
2	10	9
2	11	10
2	12	11
2	13	12
2	14	13
2	15	14
2	16	15
2	17	16
2	18	17
2	19	18
2	20	19
2	21	20
2	22	21
2	23	22
2	24	23
2	25	24
2	26	25
2	27	26
2	28	27
2	29	28
2	30	29
2	31	30
2	32	31
2	33	32
2	34	33
2	35	34
2	36	35
2	37	36
2	38	37
2	39	38
2	40	39
2	41	40
3	0	4
3	1	3
3	2	3
3	3	2
3	4	3
3	5	4
3	6	4
3	7	5
3	8	6
3	9	7
3	10	8
3	11	9
3	12	10
3	13	11
3	14	12
3	15	13
3	16	14
3	17	15
3	18	16
3	19	17
3	20	18
3	21	19
3	22	20
3	23	21
3	24	22
3	25	23
3	26	24
3	27	25
3	28	26
3	29	27
3	30	28
3	31	29
3	32	30
3	33	31
3	34	32
3	35	33
3	36	34
3	37	35
3	38	36
3	39	37
3	40	38
3	41	39
4	0	5
4	1	4
4	2	3
4	3	3
4	4	2
4	5	3
4	6	4
4	7	5
4	8	5
4	9	6
4	10	7
4	11	8
4	12	9
4	13	10
4	14	11
4	15	12
4	16	13
4	17	14
4	18	15
